text,label,notes,source_post
"Let me tell you 2 things. 1. That let anybody do age fraud. India is now strong in cricket. So, BCCI strictly do bone testing of every players to determine their age. Due to bone testing we have margin of +-2 years. So maximum age fraud can be done by 2 years only. And BCCI is harsh on this. They literally banned Rasikh dar for same. And also Manjot kalra (u19 final MoM was banned). Basically this system has decreased age fraud. Almost every cricket who played for india has done age fraud. I personally know about rishabh pant. He has decreased around 3 years in his age. Yuvi is publically know for descreasing age by 2 years as well. Same dhoni and kohli had done. So, in india unfortunately everybody did age fraud. 2) Vaibhav is also hiding his real age. He is exactly 1.5 years elder. His real date of birth was 27 spet 2009. His father thought, let's decrease it by 1.5 years and wrote his DOB as 27 march 2011 coz bone test have 2 year margin as he was smart enough to not cross limit. Now you will ask why his father decreased his age. Because even Sooryavanshi dad didn't know it that his son is prodigy. Vaibhav was registered with BCCI in 2019. So he was playing good but nobody thought he would be that good. Even if tomorrow, vaibhav comes clean and tell about his real age. No action will be taken against him. Coz age fraud is crime only when you take benefit on the behalf of age fraud. So Even if we increase his age by 1.5 years. He was playing U19 world cup at the age of 16. Which is way below 19 years.",analysis,,Age fraud / Vaibhav Souryavanshi in the IPL
"His own interview from 3 years ago where he said he'll turn 14 that year, so by his own words he'll turn 17 this year. Some people are giving excuses like he must have forgotten his real age, he's a cricketer who's been playing age group cricket from a young age he's not gonna forget his actual age. If at all he might have said a younger age by habit, but no one's gonna say they're older than they are when asked their age."" | analysis",analysis,,
"""I don't think that he is faking his age!",hot_take,,
Manjot Kalra centurion of U19 Final of 2018 ended his career in age fraud.,reaction,,
"Well I was skeptical of him as well, but the way he has been performing is what matters, not the commentators' obsession with attaching his age with him.",hot_take,,
There are many naive people in the comments still believing that he is 15 yrs old 🤦🏾‍♂️,hot_take,,
"The recording of birth is getting more rigid and proper in India. Aadhaar and such verification is becoming more and more compulsory. Age fraud in 2026 is not that practical anymore , except for maybe few rural villages. New born babies are getting registered properly.",analysis,,
You are same kind of low life person . There is no need to support or non support age fraud . He did not commit age fraud . I know he is 1.5 years older . But i don't care . Even if somebody claims he is 15 i will say OK . Coz 1.5 years doesn't matter coz all the players almost 100% have done age fraud . We don't know about sachin . He might have done as well . He was born in 70s . Those times it was custom in whole india that people used to write 1-2 years less age due to government job chances,hot_take,,
"you've got to be so kidding if you actually still speculate fake age, the amount of fame Vaibhav has obtained in last 2 years, somewhere on the internet he'd have been debunked extensively, nowadays its all up there anyways, ",hot_take,,
"many players only had one good season for delhi, it's not a new thing... other teams can still reach out to him and he might perform for them... gambhir, abd, boult etc...",hot_take,,Players who benefitted the most from flat pitches and the Impact Player rule
"The most is vaibhav clearly, without the impact rule they might not have played someone super young due to fielding issues and so on and maybe he would never have gotten the chance rr gave him.",analysis,,
I will say all the players who are now 35+ have got a second lifeline due to such pitches and now r scoring more runs than ever,hot_take,,
Players?? a team won two trophies due to impact player,reaction,,
Jake Fraser Mcgurk was first player which came to my mind but he played good for only 2024 season. He failed badly in 2025 & wasn't picked by any IPL team in 2026 auction.,hot_take,,
"Retain both. Release Pandya as captain. Give it to Sky/Boom and Tilak VC.

Retain Sky for a lower price. That 16.35 Cr is not justifiable. We don't have bench strength.",hot_take,,Should Mumbai release both Hardik and Surya?
"Suryakumar is literally their best batsman of all time after Pollard. People seem to forget he had a 700+ season just a year ago, this season was bad for him but it was bad for EVERYONE in MI. They should definitely give him another chance",analysis,,
They should release Aakash; that might actually stabilise the club and bring it back on track.,hot_take,,
No surya.. only pandya will be released by MI money indians,hot_take,,
"Abhishek kinda gets the hate too, everyone has come to terms with the fact that hes not a big match player. Its an unfair comparison though because SKY is nearing his retirement age and Abhishek has just started",hot_take,,
"Both players have been out of form and there is honestly very less hope that they can bring back the glory days for MI

But releasing both of them will definitely cause a huge rift among fans and affect Mumbai's core stability, but it would also free up a huge chunk of money for the upcoming auctions",analysis,,
"At this rate, my money is on Deccan Chargers",reaction,,Who do you think will stop their Trophy drought first out of the 3?
"RR are most likely to. They have less to fix. DC always seems to start strong but mess up later on. Pbks, well, there's lot to worry about actually. Especially after a season like that. Being unbeaten in the first half, you should've been the first team to qualify, but if you miss out on qualification, then there's lot that needs to be thought about",analysis,,
Are you joking...jurel is inconsistent with 7 half centuries and 515 runs at a SR of 160? And parag was sufferimg from an injury for 2 years and is now operated yesterday and will be back to form hopefully....btw parag is considered one oft he best all rounders in india at the moment. And it was out of their hands to lose curran....now they will fix that spot and one indian pacer and ofc theyre winning..,analysis,,
"DC last 3 seasons:

14 points 15 points 14 points

Honestly, they have a good team. In case they manage to click in 2 more matches, a top 2 finish along with a potential trophy is not far away.",analysis,,
"
I believe it's between rr and pbks. they've shown most potential out of the 3. dc has a lot to fix before even becoming a contender.",hot_take,,
"
I back RR. They came third with a very young Indian core. Vaibhav, Jaiswal, Jurel and Parag have a lot of growing to do and they will be scary in the next 2-3 years. Archer still has years to give to the team, Punja looks like a proper T20 bowler. Imo they just need to get their other bowlers sorted.",analysis,,
"
Punjab kings if the team stays the same, this year all their prime bowlers were out of form but they have a strong team. Next ipl for ashes aussie and england players might not be available so rcb wont have hazelwood, dc wont have stark rr wont have archer",analysis,,
"He never deserved a t20 trophy as a coach It was Sanju’s trophy

And who gave Sanju an extended run in T20s? Certainly not Dravid lmao who was kept playing Pant.

He was praised for mentoring kkr where Shreya’s deserved the credit

More like Shreyas was able to touch the trophy because of GG lmao, otherwise KKR would have lost 6 matches in a row.

And why the heck are you even giving the credit to Iyer?

Narine had the single greatest IPL season ever, Dre Russ had a godly season as well, Philosophy Salt was playing like he was possessed, the batsman even at no. 8 were good enough to entirely changed the game.

Meanwhile Iyer? He scored something like 300 odd runs, he had as good of a season as Riyan Parag in 2026.

As for the bowlers? They had Narine and Varun at the spin department which was a best IPL spinner in history vs best IPL spinner in present type of spin attack.

Pace attack? Harshit and Vaibhav had their form of life and they were amazing under the guidance of Starc.",analysis,,Gill Bias towards Gujrat Titans players in the Indian national team
"Dravid was not a good coach himself, his decision of backing surya and not having batting depth till 8 cost us the 2023 wc and 2022 wt20. Also lost wtc final under him. The 2024 wt20 saved his image but rohit had a bigger role in shaping that team after failure in the last two events",analysis,,
"All GT lobby players deserve to be in the team

except Sai and Prasidh",hot_take,,
"As if half of them were already not playing before , such dumb logic same as mumbai bias in t20 team",hot_take,,
They even justified Sai getting a nod ahead of DDP saying Sai has a 700+ season in ipl. Harsh Dubey was great in Ranji this year yet Manav Sutar gets test debut before him. ,analysis,,
"Washi over Axar and SaiSu over DDP is diabolical. GG is single handedly ruining the Test Team.

Asks senior players to play Domestic to keep their place in the XI, but doesn't give youngsters a chance based on domestic performance. Youngsters are selected in Test team based on their IPL performances and the coach and captain's whims and fancies.",analysis,,
If everyone started watching domestic than sai and Suthar wouldn't even start in Sai's domestic team there are like two to three players with more avg than him and players that has double his avg and harsh has taken the highest number of wickets in ranji history so it's u who isn't watching domestic cricket,analysis,,
If everyone started watching domestic than sai and Suthar wouldn't even start in Sai's domestic team there are like two to three players with more avg than him and players that has double his avg and harsh has taken the highest number of wickets in ranji history so it's u who isn't watching domestic cricket,analysis,,
"
It’s all the same like before. New govt new leader so all governors and judges get elected from their inner circle. It used to be CSK quota, then RCB then MI and now GT",hot_take,,
"So you lead the kkr team? And i should give credit to you?
Do you even know how to hold a bat and face 140+?
Taking away the credit from shreyas. You have zero ball knowledge.
I agree kkr had the good season but it’s the captain who makes decision on the field.
The same kkr struggled without a captain having the same number of players , in fact who had the good auction.
Zero ball knowledge
Gg is not good bro, don’t defend him.
I remember gg was complaining about jay shay giving opportunity to some so called player just cuz he liked them.
And have you seen him taken decisions to back players who had good domestic red ball season?
He is corrupted!
Dravid was by far the good coach India had
He unfortunately was on the winning side when Sanju had to perform and coz he had no place in the team.( let’s talk about Sanju for a moment 1) he had three centuries when opened the t20s 2) they drop him because of politics and backs shubman where he had bad average.3) later sends him down the order and he loses his form and gives Ishan his place 4)gives opportunity for Ishan instead of Sanju when Ishan had good season( not complaining about Ishan) but Sanju rightly deserved his place.5)surya doesn’t back him the whole worldcup and behaved so badly in the conference (choothiya sky) finally he gets a chance because they were mostly out of the league( oh I badly wished they lose one match after that).Sanju single handedly changed the whole situation.
Don’t back these losers",hot_take,,
"
Multiple selections from one franchise are bound to happen naturally, when players dominate both domestic and international cricket .",analysis,,
"Saw a lot of comments complaining about why Sundar was picked ahead of Axar

Sundar being a right hand offie isn’t competing with Axar a left hand offie.

People can’t even decipher that it was Manav Suthar & Harsh Dubey that were picked over Axar.

Just have a look at Axar’s last 7 tests, all at home, all he has is 10 wickets to show on rank turners.
The guy can’t even turn the ball, all he does is bowl darts at the stumps.",analysis,,
"GG and Iyer dont even have any sort of bad blood in the 1st place lol , the only incident I remember was Iyer not being in the 2025 eng 1st ODI in starting XI but that too I feel was more of giving Jaiswal a debut cap rather than dropping Iyer , GG was one of the first people to recognise Iyer's leadership skills and both have worked beautifully in KKR's 2024 run heck I even feel Iyer wouldnt have left KKR if GG continued , so all the BS saying GG not wanting Iyer as captain ( and on top of that Agarkar who literally dropped Iyer from central contract in 2024 and then ignored him fully for T20I squad in 2025 suddenly wanting him to captain lmao) is nothing but clickbaits and fake news",hot_take,,"Just curious, why so much hate (Regarding Shreyas Iyer as KKR Captain and Gautum Gambhir (former captain) as team coach)"
"GG was a visionary and very great player, even outside the field. Grit and passion to win it for India has always fueled him. Even as coach he brought that direct and one for all structure. I mean star glazing is very much existent and that's the reason for his hate partly. It was always that Selector and coach or Captain has picked someone over others. Even the biggest gambles like opening with Rohit, etc were fruitful because decisions were allowed to make thinking out of box. Harshit did good and can be a worthy asset in the pace roster.

For those all who see ICT first and then players, GG can never be a troll piece. Yes, sometimes some decisions won't align with our wishes or doesn't seem obvious but as long as they are in the intrest of ICT it's fine. We don't have to agree with everything for him to be a good coach.

I'm also a big Fan of RoKo but for that I won't give blind hate to GG and all the sidelining fisco of Iyer was Agarkar, who actually wasn't selected as selector on a merit basis. He has no credentials and all the fuck ups done with the team are mostly his personal targeting and opinions. So half the hate towards GG is actually for Agarkar but GG is a easy target and it's easy to flow with tide.


",analysis,,
"Bro Agarkar & GG tried to drop Shreyas Iyer from ODI before CT who is arguably one of the best No.4 of India ever.. Who ultimately ended up scoring the most runs in CT.. Rohit had to fight to get Iyer in Playing XI.. So dont give me that GG doesn't hold personal grudge.. Just to exclude Iyer, GG was ready to disturb the whole batting lineup in ODI & get Gill at 3 & Kohli at 4.. Even right now reports are GG doesnot want Iyer as captain..",analysis,,
"Because the fanbases of big 3 hates him, that's why.

KKR is successful because of Gambhir only, they're Delhi without him.

They still remain the only team from original 8 who never played knockouts in 2008-10 cycle and their fortunes changed when he joined in 2011.

He's the one of the clutchest player and one of the big reasons we won those World Cups in 2007 and 2011, he will always have my respect for that.",hot_take,,
"
I don't get why Shreyas should even be captain of the side now. He wasn't even in 15 member squad when we played last time. When you call someone who isn't even in your team to directly lead the side, it is usually because team is in shambles and needs a complete overhaul. But we literally just won T20 WC for 2nd time in row?

I believe the conversation about Surya's sacking should've handled better. He's WC winning captain for god's sake. One backroom meeting, a simple tweet by him saying he feels he's achieved everything and it's time for next person to take over. So he's stepping down/retiring. But no. All drama. I personally hope that news is false entirely, but doesn't seem that way atp.

As for other contenders, I believe it should be Sanju or Ishan. If they want a completely young man in charge, then maybe Tilak. Had Shreyas been in the team already, that's different situation.",hot_take,,
"
GG is always portrayed wrong like some sort of dictator by media and so and so called fans !!! He is against star culture in ICT which fans hate . He maybe wrong at times but he is got a point , daring enough to drop anyone no matter how big the player is unless its Harshit Rana",analysis,,
"What credentials did he have to be coach of a national side? He was mentor at LSG and KKR but never a coach. He was never a coach anywhere else either. He's fine for T20s but his approach, style, too much shuffling batting order, playing too many all rounders instead of specialists, obsession with left right combination, etc just doesn't work in test cricket. In T20s, he's more or less inherited a well established side.",hot_take,,
"
90 percent of the Indian audience is just superstar worship and nothing else, he doesn't believe in that culture and hence the hate.",hot_take,,
"
If you think he is a saint then go through this

https://sportzpower.com/real-estate-fraud-delhi-court-orders-fresh-probe-against-gambhir/",analysis,,
"The hate is so stupid, that people say he didn't have any role in KKR's IPL title in 2024 and Iyer was robbed ofg the credits (another bullshit claim).

But the same people hate SKY more than Gambhir because apparently he became the captain as he's close to GG, and say his captaincy didn't win us the t20 WC. But at the same time, they don't credit Gambhir for the triumph.🤣🤣",hot_take,,
"
dw lad now that iyer has been picked to lead the squad, the hate situation is gonna be flipped now, GG will be out of the spotlight and everyone's gonna start hating iyer now

",hot_take,,
"
Because he is, was and always be a sore loser. I am in my late 30’s and have seen it all. Never seen this guy happy. Always crying, bitching and complaining about everything he sees. He has his favourites and he knows how to play the game “politically correct” to accommodate his favs. I want Indian team to do good but can’t stand this guy lol. Before anybody @ me. THIS IS MY PERSONAL OPINION. Ty.",analysis,,
No one in right mind would ask for 30 crore . He wanted to leave as he even unintentionally exposed Venky that he gets involved in team talks . Then later when GG and Nayar left he knew team would be in shambles and hence he wanted to leave asap . Why would he leave opportunity to work under Ponting anyways . Nobody would want to be under Chandu and Dancer .,reaction,,The truth behind Shreyas leaving KKR; from the ongoing AMA with sports journalist
we may never know the news was ages agoo why dig open now?,analysis,,
"yea, he revealed that the KKR CEO was more than often involved in the team's selection and internal affiars, all of which should've actually been handled by coaching profs",analysis,,
"Shreyas exposed KKR management just like Ganguly, which is why both of them were kicked out, as neither of them wanted the management poking their nose in every team matter",analysis,,
"Ending the superstar culture is the biggest clown gimmick. People have started watching RR games just to get a glimpse of Suryavanshi, SRH gained relevance after the dull period just because of the explosive batting of Head, Abhi and Klaasen.

Stars run the game, if it weren't for Sachin the OG star cricket would have been as irrelevant as other sports in India.",hot_take,,
